college,lat,long
http://dbpedia.org/resource/Motherhood_University,30.4159,77.967
http://dbpedia.org/resource/Motherwell_College,55.7836,-3.96755
http://dbpedia.org/resource/Motilal_Nehru_College,28.5771,77.1609
http://dbpedia.org/resource/Motilal_Nehru_Medical_College,25.4503,81.8519
http://dbpedia.org/resource/Motilal_Nehru_National_Institute_of_Technology_Allahabad,25.4918,81.8658
http://dbpedia.org/resource/Motlow_State_Community_College,35.3658,-86.2999
http://dbpedia.org/resource/Mott_Community_College,43.02,-83.6725
http://dbpedia.org/resource/Moulay_Ismail_University,33.895,-5.55472
http://dbpedia.org/resource/Moulton_College,52.2903,-0.8573
http://dbpedia.org/resource/Mount_Allison_University,45.8986,-64.3736
http://dbpedia.org/resource/Mount_Aloysius_College,40.4595,-78.6016
http://dbpedia.org/resource/Mount_Angel_Abbey,45.057,-122.774
"http://dbpedia.org/resource/Mount_Carmel_College,_Bangalore",12.9932,77.5882
http://dbpedia.org/resource/Mount_Carmel_College_of_Baler,15.7697,121.59
http://dbpedia.org/resource/Mount_Heng_(Shanxi),39.6739,113.736
http://dbpedia.org/resource/Mount_Holyoke_College,42.2556,-72.5745
http://dbpedia.org/resource/Mount_Ida_College,42.2942,-71.1933
http://dbpedia.org/resource/Mount_Kenya_University,-1.04556,37.0817
http://dbpedia.org/resource/Mount_Lilydale_Mercy_College,47.1918,-52.8374
http://dbpedia.org/resource/Mount_Marty_University,42.875,-97.4102
"http://dbpedia.org/resource/Mount_Mary_College,_Chümoukedima",25.805,93.776
http://dbpedia.org/resource/Mount_Mary_University,43.072,-88.0309
http://dbpedia.org/resource/Mount_Mercy_University,42.0022,-91.6515
http://dbpedia.org/resource/Mount_Meru_University,-3.3,36.6333
http://dbpedia.org/resource/Mount_Royal_University,51.0136,-114.133
"http://dbpedia.org/resource/Mount_Saint_Mary's_University,_Los_Angeles",34.0851,-118.482
http://dbpedia.org/resource/Mount_Saint_Mary_College,41.5117,-74.0131
http://dbpedia.org/resource/Mount_Saint_Mary_College_(New_Hampshire),43.0928,-71.4508
http://dbpedia.org/resource/Mount_Saint_Patrick_College,-28.326,153.394
http://dbpedia.org/resource/Mount_Saint_Vincent_University,44.6708,-63.6464
http://dbpedia.org/resource/Mount_Senario_College,45.4557,-91.12
http://dbpedia.org/resource/Mount_St._Alphonsus_Seminary,41.8392,-73.96
http://dbpedia.org/resource/Mount_St._Joseph_Girls'_College,-37.8642,144.812
http://dbpedia.org/resource/Mount_St._Joseph_University,39.0949,-84.6379
http://dbpedia.org/resource/Mount_St._Mary's_University,39.682,-77.353
http://dbpedia.org/resource/Mount_Vernon_Nazarene_University,40.3737,-82.4748
http://dbpedia.org/resource/Mount_Wachusett_Community_College,42.593,-71.9835
http://dbpedia.org/resource/Mount_Washington_Observatory,44.2703,-71.3033
http://dbpedia.org/resource/Mountain_State_University,37.7758,-81.1842
http://dbpedia.org/resource/Mountain_View_College_(Philippines),7.98167,125.007
http://dbpedia.org/resource/Mountains_of_the_Moon_University,0.658611,30.285
http://dbpedia.org/resource/Mountcrest_University_College,5.58167,0.193611
http://dbpedia.org/resource/Mountview_Academy_of_Theatre_Arts,51.4748,-0.0696
http://dbpedia.org/resource/Mountwest_Community_and_Technical_College,38.4251,-82.4205
http://dbpedia.org/resource/Moutai_University,27.7405,106.332
http://dbpedia.org/resource/Moyna_College,22.2399,87.7841
http://dbpedia.org/resource/Mozarteum_University_Salzburg,47.8039,13.0433
http://dbpedia.org/resource/Mozyr_State_Pedagogical_University,52.4453,30.9922
http://dbpedia.org/resource/Mrinalini_Dutta_Mahavidyapith,22.6654,88.4213
http://dbpedia.org/resource/Mrs._A._V._N._College,17.7042,83.3013
http://dbpedia.org/resource/Mt._Hood_Community_College,45.5164,-122.396
http://dbpedia.org/resource/Mt._San_Jacinto_College,33.8072,-116.972
http://dbpedia.org/resource/Muffakham_Jah_College_of_Engineering_and_Technology,17.4278,78.4425
http://dbpedia.org/resource/Muffles_Junior_College,18.0951,-88.5401
http://dbpedia.org/resource/Mugberia_Gangadhar_Mahavidyalaya,22.001,87.7279
http://dbpedia.org/resource/Muhammad_Nawaz_Sharif_University_of_Engineering_&_Technology,30.1647,71.4956
http://dbpedia.org/resource/Muhammadiyah_University_of_Magelang,-7.48798,110.219
